	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1126609	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1127522	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1129069	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1129195	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1135017	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1139598	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU122491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU152603	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU162349	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU18214	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU203812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU217252	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU243685	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU295207	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU322418	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU327107	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU336170	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU34400	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU34435	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU361583	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU372745	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU408849	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU503558	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU5150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU611818	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU612005	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU617568	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU636647	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU664641	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU81963	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU839812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU856232	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU866916	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU868719	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU869545	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU874130	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU876075	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU876894	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU900177	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU900834	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU901316	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU903468	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU903819	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU903962	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU905852	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU906841	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU907355	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
